-1.999	9.9986	10	0.014042126
-1.0018	9.9986	10	0.014042126
-0.00118	9.9986	10	0.014042126
0.5008	9.9973	10	0.027081244
0.645	7.943	10	20.63189569
0.68	3.953	10	60.65195587
0.725	1.998	10	80.26078235
0.769	1.088	10	89.38816449
-2.001	4.999	5	0.01003009
-1.001	4.999	5	0.01003009
-0.00244	4.999	5	0.01003009
0.501	4.998	5	0.020060181
0.686	3.422	5	15.82748245
0.738	0.592	5	44.21263791
0.7608	0.3657	5	46.48244734
0.0782	0.2078	5	48.0661986
-2.001	-0.0005	0	0.005015045
-1.001	-0.0005	0	0.005015045
-0.0014	-0.0005	0	0.005015045
0.495	-0.0004	0	0.004012036
0.61	0.001	0	-0.01003009
0.648	0.0017	0	-0.017051153
0.666	0.0021	0	-0.02106319
0.676	0.0027	0	-0.027081244